               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.032642,            0.012193,           0.0020301,             0.86724,             0.79327,             0.86296,             0.42199,            0.039651,             0.01022,           0.0010317,           0.0056935,           0.0056935,           0.0056935
                  89,            0.032183,            0.011597,           0.0018046,             0.90818,             0.78377,             0.87869,             0.43543,            0.038601,            0.010011,          0.00098924,            0.005644,            0.005644,            0.005644
                  90,             0.03291,            0.012166,           0.0018354,             0.85486,             0.79788,             0.86349,             0.43071,             0.03764,            0.010213,           0.0023046,           0.0055945,           0.0055945,           0.0055945
                  91,             0.03226,            0.010945,           0.0016104,             0.80224,             0.88578,             0.90763,             0.42626,            0.037791,           0.0097396,           0.0018203,            0.005545,            0.005545,            0.005545
                  92,            0.031242,            0.011614,           0.0013931,             0.83435,             0.79382,             0.88477,              0.4355,            0.036915,           0.0099501,           0.0011496,           0.0054955,           0.0054955,           0.0054955
                  93,            0.030384,            0.010902,           0.0012998,             0.86744,             0.82499,             0.89333,             0.44069,            0.037708,            0.010024,          0.00097963,            0.005446,            0.005446,            0.005446
                  94,            0.031205,             0.01141,            0.001708,             0.80958,             0.78147,             0.85426,             0.40193,            0.038717,            0.010069,           0.0034658,           0.0053965,           0.0053965,           0.0053965
                  95,            0.032007,            0.011359,           0.0016708,             0.82515,             0.80131,                0.87,              0.4094,            0.038301,            0.010131,           0.0012753,            0.005347,            0.005347,            0.005347
                  96,            0.030947,            0.011687,           0.0021258,             0.84009,              0.8024,              0.8361,             0.39854,            0.040288,            0.010618,           0.0025207,           0.0052975,           0.0052975,           0.0052975
                  97,            0.031404,            0.011448,           0.0017073,             0.76607,             0.80779,             0.82897,             0.40267,            0.038397,             0.01036,           0.0025504,            0.005248,            0.005248,            0.005248
                  98,             0.03067,             0.01133,           0.0017288,             0.87523,             0.72552,              0.8454,             0.41211,            0.038962,            0.010417,           0.0010558,           0.0051985,           0.0051985,           0.0051985
                  99,            0.030722,            0.011074,           0.0015385,             0.88065,              0.7838,             0.87647,             0.43822,             0.03744,            0.010255,          0.00049066,            0.005149,            0.005149,            0.005149
                 100,             0.03054,            0.011532,           0.0014111,             0.78476,             0.82701,             0.86663,             0.42554,            0.038753,            0.010177,            0.005202,           0.0050995,           0.0050995,           0.0050995
                 101,            0.029829,            0.011368,           0.0013834,             0.93505,             0.77438,             0.89665,              0.4393,            0.038115,            0.010069,          0.00073471,             0.00505,             0.00505,             0.00505
                 102,             0.02997,             0.01095,           0.0016321,             0.83323,              0.8712,             0.90915,             0.44996,            0.037834,            0.010125,          0.00076328,           0.0050005,           0.0050005,           0.0050005
                 103,              0.0305,            0.011287,           0.0014579,             0.91787,             0.76593,             0.86925,             0.41835,             0.03906,            0.010413,          0.00075506,            0.004951,            0.004951,            0.004951
                 104,            0.030412,            0.010963,           0.0018556,             0.85149,             0.83698,             0.87788,              0.4305,            0.038765,           0.0095961,           0.0014672,           0.0049015,           0.0049015,           0.0049015
                 105,            0.030576,            0.011108,           0.0018191,             0.86836,              0.8042,             0.88447,              0.4257,            0.037965,            0.010028,           0.0021493,            0.004852,            0.004852,            0.004852
                 106,            0.029993,            0.011414,           0.0017801,             0.84535,             0.83603,             0.89352,             0.40772,            0.038907,             0.01049,           0.0016964,           0.0048025,           0.0048025,           0.0048025
                 107,            0.028969,            0.010821,           0.0017589,             0.92022,             0.80564,             0.89147,             0.44875,            0.037117,            0.010214,          0.00069999,            0.004753,            0.004753,            0.004753
                 108,            0.028893,            0.010849,           0.0011596,              0.8807,              0.7838,             0.87876,             0.43749,            0.037618,            0.010139,          0.00077621,           0.0047035,           0.0047035,           0.0047035
                 109,            0.029832,            0.010777,           0.0013996,             0.87921,             0.83426,             0.88573,             0.44139,            0.036919,            0.010265,           0.0016865,            0.004654,            0.004654,            0.004654
                 110,            0.029033,            0.010181,           0.0014064,             0.90089,             0.82459,             0.90863,             0.44677,            0.037624,            0.010153,           0.0016441,           0.0046045,           0.0046045,           0.0046045
                 111,            0.029874,            0.010847,           0.0013615,             0.91422,             0.80944,             0.89366,             0.43288,            0.036932,            0.010203,            0.001354,            0.004555,            0.004555,            0.004555
                 112,             0.02877,            0.010785,           0.0016764,             0.90611,             0.80944,             0.87864,             0.39849,            0.036907,            0.010486,           0.0011814,           0.0045055,           0.0045055,           0.0045055
                 113,            0.029079,            0.010641,            0.001458,             0.88774,             0.79221,             0.89143,             0.44404,             0.03759,            0.010159,           0.0010101,            0.004456,            0.004456,            0.004456
                 114,            0.028231,            0.010952,           0.0012764,             0.86302,             0.80997,             0.89431,             0.43021,            0.038119,            0.010365,           0.0016085,           0.0044065,           0.0044065,           0.0044065
                 115,            0.028608,             0.01044,           0.0015843,             0.84442,             0.83974,             0.87739,             0.42598,            0.037795,            0.010176,           0.0010236,            0.004357,            0.004357,            0.004357
                 116,            0.028671,            0.010458,           0.0016617,             0.91217,             0.79662,             0.91169,             0.41793,             0.03778,           0.0098134,          0.00083296,           0.0043075,           0.0043075,           0.0043075
                 117,            0.028603,             0.01054,           0.0013426,             0.87413,             0.83371,             0.90198,             0.44653,            0.037241,            0.010106,          0.00061706,            0.004258,            0.004258,            0.004258
                 118,            0.028409,            0.010452,            0.001787,             0.83037,             0.82367,             0.88822,             0.43694,            0.036955,            0.010449,           0.0047513,           0.0042085,           0.0042085,           0.0042085
                 119,            0.027876,             0.01053,           0.0013112,             0.90922,             0.77423,             0.88291,              0.4296,            0.037598,            0.010524,           0.0010405,            0.004159,            0.004159,            0.004159
                 120,            0.027905,           0.0099859,           0.0015524,             0.89821,             0.80147,             0.90891,             0.44714,            0.036805,              0.0104,           0.0011851,           0.0041095,           0.0041095,           0.0041095
                 121,            0.027634,           0.0098454,           0.0014287,             0.90552,             0.76801,             0.86477,             0.42227,            0.037641,            0.010724,          0.00049091,             0.00406,             0.00406,             0.00406
                 122,            0.028149,            0.010498,           0.0013874,              0.8258,             0.78904,             0.87608,             0.42578,            0.038842,            0.010406,          0.00065645,           0.0040105,           0.0040105,           0.0040105
                 123,            0.028205,            0.010135,           0.0011491,             0.91767,             0.78066,              0.8955,              0.4273,            0.039341,            0.010231,           0.0023241,            0.003961,            0.003961,            0.003961
                 124,            0.028042,           0.0098576,           0.0019531,              0.9067,             0.77855,             0.88743,             0.43436,            0.039119,            0.010261,          0.00051301,           0.0039115,           0.0039115,           0.0039115
                 125,            0.026649,            0.010377,           0.0013394,             0.90407,             0.81346,             0.91415,             0.44481,            0.036878,           0.0098543,           0.0016057,            0.003862,            0.003862,            0.003862
                 126,            0.026996,             0.01021,           0.0013833,             0.85024,             0.84251,             0.89637,             0.44728,            0.038296,            0.010343,           0.0004226,           0.0038125,           0.0038125,           0.0038125
                 127,            0.027591,            0.010512,           0.0012123,             0.91478,             0.75469,              0.8599,             0.41515,            0.038891,            0.010296,           0.0013556,            0.003763,            0.003763,            0.003763
                 128,            0.026689,            0.010198,           0.0014748,             0.86258,             0.78687,             0.87388,             0.42748,            0.037937,            0.010369,           0.0014148,           0.0037135,           0.0037135,           0.0037135
                 129,            0.025946,           0.0097073,           0.0011437,             0.88424,             0.79741,             0.89878,              0.4489,            0.037206,            0.010173,          0.00062442,            0.003664,            0.003664,            0.003664
                 130,            0.026866,           0.0099282,           0.0010616,              0.8289,             0.82168,               0.884,             0.43345,             0.03778,            0.010481,           0.0017456,           0.0036145,           0.0036145,           0.0036145
                 131,            0.026642,            0.010251,           0.0014156,             0.91575,              0.8038,             0.90985,             0.45332,            0.037685,            0.010369,          0.00099328,            0.003565,            0.003565,            0.003565
                 132,            0.026294,           0.0095803,            0.001495,             0.85976,             0.82401,             0.91094,             0.43624,            0.037807,            0.010128,          0.00050095,           0.0035155,           0.0035155,           0.0035155
                 133,            0.026572,           0.0097671,           0.0011603,             0.88749,             0.82107,             0.91196,             0.43116,             0.03795,            0.010388,           0.0010029,            0.003466,            0.003466,            0.003466
                 134,            0.026307,            0.010336,           0.0010496,             0.90175,             0.78302,             0.89676,             0.44069,            0.038093,           0.0098971,           0.0006179,           0.0034165,           0.0034165,           0.0034165
                 135,            0.025982,             0.01009,           0.0011223,             0.92563,             0.81177,             0.91142,             0.45563,            0.037369,            0.010295,          0.00031759,            0.003367,            0.003367,            0.003367
                 136,            0.026155,            0.010033,           0.0013031,             0.89851,             0.83165,             0.91038,             0.45179,             0.03816,            0.010078,          0.00032599,           0.0033175,           0.0033175,           0.0033175
                 137,            0.025747,           0.0097606,           0.0012396,             0.90564,             0.87023,             0.93655,             0.46203,            0.037465,            0.010096,          0.00066656,            0.003268,            0.003268,            0.003268
                 138,            0.025142,           0.0099705,           0.0010406,             0.89602,             0.87702,             0.92371,             0.44875,            0.037093,            0.010168,          0.00057433,           0.0032185,           0.0032185,           0.0032185
                 139,            0.025473,           0.0095934,           0.0012035,             0.89945,             0.79007,             0.89401,             0.43498,            0.038019,            0.010276,           0.0018338,            0.003169,            0.003169,            0.003169
                 140,            0.025546,           0.0097327,           0.0012003,             0.82678,             0.87895,             0.91474,             0.43572,             0.03779,            0.010065,           0.0011171,           0.0031195,           0.0031195,           0.0031195
                 141,            0.025332,           0.0096271,           0.0011225,             0.90244,             0.86429,             0.92423,              0.4563,            0.037563,            0.010299,          0.00032365,             0.00307,             0.00307,             0.00307
                 142,            0.024981,           0.0095697,           0.0010707,               0.865,             0.89791,             0.92641,             0.45857,            0.037338,            0.010228,          0.00051516,           0.0030205,           0.0030205,           0.0030205
                 143,            0.025046,           0.0091563,           0.0011191,             0.84346,             0.88432,             0.91905,             0.45386,            0.038156,            0.010091,          0.00088819,            0.002971,            0.002971,            0.002971
                 144,            0.025364,           0.0096527,          0.00096108,             0.85939,             0.85548,             0.92102,             0.45711,            0.037428,            0.010212,           0.0012514,           0.0029215,           0.0029215,           0.0029215
                 145,            0.025233,           0.0096259,          0.00090327,             0.87553,             0.80186,             0.88631,             0.44682,            0.038624,            0.010364,           0.0028383,            0.002872,            0.002872,            0.002872
                 146,            0.025322,           0.0094977,           0.0011087,             0.92978,             0.82365,             0.90553,              0.4537,            0.037191,            0.010008,           0.0010869,           0.0028225,           0.0028225,           0.0028225
                 147,            0.025282,           0.0094376,             0.00125,             0.80104,             0.87587,             0.90519,             0.45642,            0.037693,            0.010403,           0.0016987,            0.002773,            0.002773,            0.002773
                 148,            0.024076,           0.0093565,           0.0011599,              0.9207,             0.78321,             0.90764,             0.45943,            0.037553,            0.010364,           0.0018788,           0.0027235,           0.0027235,           0.0027235
                 149,            0.024722,           0.0091185,           0.0014713,             0.88054,             0.88112,             0.91986,             0.45405,            0.038038,            0.010363,          0.00090755,            0.002674,            0.002674,            0.002674
                 150,             0.02491,            0.009216,           0.0012323,             0.87432,             0.81424,             0.91077,             0.43602,            0.038084,            0.010222,          0.00079272,           0.0026245,           0.0026245,           0.0026245
                 151,            0.025676,           0.0098619,           0.0011062,             0.88924,             0.83741,             0.91302,             0.45898,            0.038594,             0.01029,           0.0012942,            0.002575,            0.002575,            0.002575
                 152,            0.024762,           0.0095668,          0.00097269,             0.90686,             0.84365,             0.92216,             0.45766,            0.037433,            0.010022,          0.00077444,           0.0025255,           0.0025255,           0.0025255
                 153,            0.024326,           0.0090052,           0.0011453,             0.87609,             0.85548,             0.92693,             0.45586,            0.037144,           0.0099171,           0.0006467,            0.002476,            0.002476,            0.002476
                 154,            0.023619,           0.0092249,            0.001111,             0.82398,              0.9181,             0.91997,              0.4626,            0.037728,            0.010079,           0.0012899,           0.0024265,           0.0024265,           0.0024265
                 155,            0.023961,           0.0090273,          0.00089818,             0.86921,             0.83981,             0.90716,             0.45209,            0.037814,            0.010117,           0.0013145,            0.002377,            0.002377,            0.002377
